city|location|price|bedrooms|baths|size
Lahore|State Life Housing Society, Lahore|38500000|5|6|2250
Lahore|State Life Housing Society, Lahore|36500000|5|6|2250
Lahore|DHA Phase 6 - Block H, DHA Phase 6|479500000|6|7|9000
Lahore|DHA Phase 10, DHA Defence|18000000|2|2|18000
Lahore|Bedian Road, Lahore|60000000|1|1|36000
Lahore|Al-Kabir Phase 2 - Block B, Al-Kabir Town - Phase 2|11500000|3|4|675
Lahore|Bahria Town - Sector E, Bahria Town|8500000|1|1|495
Lahore|Park View City, Lahore|16000000|4|5|1125
Lahore|Allama Iqbal Town - Ravi Block, Allama Iqbal Town|45000000|5|7|2250
Lahore|Jubilee Town - Block E, Jubilee Town|19800000|5|6|1125
Lahore|State Life Housing Society, Lahore|45000000|5|6|2250
Lahore|State Life Phase 1 - Block A, State Life Housing Phase 1|21000000|3|4|1125
Lahore|Military Accounts Housing Society, Lahore|11500000|3|3|900
Lahore|Park View City - Executive Block, Park View City|23000000|4|5|1125
Lahore|DHA Phase 7, DHA Defence|64500000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|495000000|6|7|9000
Lahore|Johar Town, Lahore|49000000|6|7|3150
Lahore|DHA Phase 7 - Block V, DHA Phase 7|105000000|5|6|4500
Lahore|DHA Phase 7, DHA Defence|51000000|4|5|2250
Lahore|DHA Phase 5, DHA Defence|225000000|6|6|4500
Lahore|EME Society, Lahore|130000000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|110000000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|90000000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|160000000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|290000000|6|6|4500
Lahore|DHA Phase 4 - Block HH, DHA Phase 4|65000000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|69900000|5|6|4500
Lahore|DHA Phase 7 - Block Y, DHA Phase 7|135000000|5|6|4500
Lahore|DHA Phase 7 - Block S, DHA Phase 7|69900000|6|6|4500
Lahore|DHA Phase 7 - Block Y, DHA Phase 7|70000000|5|6|4500
Lahore|Central Park Housing Scheme, Lahore|14000000|3|4|675
Lahore|Park View City, Lahore|17000000|4|4|1125
Lahore|DHA Phase 5 - Block E, DHA Phase 5|77500000|5|6|4500
Lahore|Al-Kabir Town - Phase 2, Al-Kabir Town|9800000|3|3|675
Lahore|DHA 9 Town - Block B, DHA 9 Town|24000000|3|4|1125
Lahore|Park View City, Lahore|15000000|4|4|1125
Lahore|Zamil Heights 1, Bahria Orchard|7500000|1|1|608
Lahore|New Lahore City - Phase 2, New Lahore City|12500000|3|3|1125
Lahore|Al-Kabir Town - Phase 2, Al-Kabir Town|4830000|1|1|315
Lahore|DHA Phase 4, DHA Defence|49900000|3|4|5400
Lahore|Eden Boulevard Housing Scheme, College Road|25000000|5|6|1125
Lahore|DHA Phase 6, DHA Defence|80000000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|100000000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|280000000|6|6|9000
Lahore|DHA Phase 6, DHA Defence|85000000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|107500000|5|6|4500
Lahore|DHA Phase 7, DHA Defence|79000000|5|6|4500
Lahore|DHA Phase 7, DHA Defence|74500000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|120000000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|440000000|6|6|18000
Lahore|DHA Phase 6, DHA Defence|80000000|5|6|4500
Lahore|DHA Phase 2 - Block R, DHA Phase 2|169500000|6|7|9000
Lahore|DHA Phase 7, DHA Defence|62500000|0|0|4500
Lahore|DHA Phase 7, DHA Defence|135000000|5|7|4500
Lahore|Bahria Town - Sector C, Bahria Town|28800000|5|6|2250
Lahore|Formanites Housing Scheme, Lahore|16500000|4|5|1125
Lahore|Al-Kabir Town - Phase 2, Al-Kabir Town|9900000|4|4|675
Lahore|Alpha Society, Lahore|56000000|4|5|2250
Lahore|Johar Town Phase 1 - Block G1, Johar Town Phase 1|65000000|6|6|2700
